무인교통단속카메라관리번호,시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도
주차25,대구광역시,남구,시도,,대명로,3,대구광역시 남구 대명로 65,대구광역시 남구 대명동 1623-2,35.83960217,128.564653,대명역 교차로,4,0,,,99.0,2018.0
주차26,대구광역시,남구,시도,,양지로,3,대구광역시 남구 양지로 100,대구광역시 남구 대명동 2152-7,35.85124152,128.5790949,또이스치킨 앞,4,0,,,99.0,2018.0
주차27,대구광역시,남구,시도,,이천로,3,대구광역시 남구 이천로 29,대구광역시 남구 봉덕동 685-1,35.84376699,128.5979701,마니아 건물 앞,4,0,,,99.0,2018.0
주차28,대구광역시,남구,시도,,앞산순환로,3,대구광역시 남구 앞산순환로 574-87,대구광역시 남구 대명동 산227-5,35.82895754,128.5890355,대덕교 뒤편,4,0,,,1.0,2018.0
주차29,대구광역시,남구,시도,,용두길,3,대구광역시 남구 용두2길 26,대구광역시 남구 봉덕동 1225,35.8308308,128.6037943,고산골 고산구청 식당 앞,4,0,,,99.0,2018.0
주차30,대구광역시,남구,시도,,희망로,3,대구광역시 남구 희망로 3길 29,대구광역시 남구 봉덕동 481-11,35.84902418,128.5992828,봉덕119안전센터 앞 삼거리,4,0,,,2.0,2018.0
주차31,대구광역시,남구,시도,,봉덕로,3,대구광역시 남구 봉덕로 35,대구광역시 남구 봉덕동 595-10,35.84525256,128.5946713,세븐일레븐 앞 삼거리,4,0,,,99.0,2018.0
주차32,대구광역시,남구,시도,,중앙대로,3,대구광역시 남구 명덕로 40길 127,대구광역시 남구 대명동 1796-9,35.85106216,128.5900017,군성공인중개사앞,4,0,,,99.0,2018.0
주차33,대구광역시,남구,시도,,현충로,3,대구광역시 남구 현충로 244-1,대구광역시 남구 대명동 1896-2,35.85420413,128.583379,안경콘텍트앞,4,0,,,99.0,2018.0
주차34,대구광역시,남구,시도,,대명로,3,대구광역시 남구 대명로 10,대구광역시 남구 대명동 1130,35.83750362,128.5585501,우야지막창 앞,4,0,,,99.0,2018.0
주차35,대구광역시,남구,시도,,현충로,3,대구광역시 남구 현충로 46,대구광역시 남구 대명동 498-6,35.83669848,128.5800516,용궁복어 입구,4,0,,,99.0,2018.0
주차36,대구광역시,남구,시도,,대명로,3,대구광역시 남구 자유길 12,대구광역시 남구 대명동 332-2,35.84093751,128.5831931,캠프워크후문 교차로,4,0,,,99.0,2019.0
주차37,대구광역시,남구,시도,,성당로,3,대구광역시 남구 성당로 250,대구광역시 남구 대명동 2296-29,35.85509508,128.574329,대구대입구 전용주차장 앞,4,0,,,2.0,2019.0
주차38,대구광역시,남구,시도,,신천동로,3,대구광역시 남구 신천서쪽자전거길 129,대구광역시 남구 이천동 655-144,35.84991312,128.6074216,신천동로 자전거안전교육장 앞,4,0,,,99.0,2019.0
주차39,대구광역시,남구,시도,,대명로,3,대구광역시 남구 대명로 100,대구광역시 남구 대명동 960,35.8388701,128.5688874,대명초등학교 옆,4,0,,,2.0,2019.0
주차40,대구광역시,남구,시도,,봉덕로,3,대구광역시 남구 봉덕로28길 48,대구광역시 남구 봉덕동 939-6,35.842258,128.6048913,봉덕화성파크드림 앞,4,0,,,99.0,2019.0
주차41,대구광역시,남구,시도,,효성로,3,,대구광역시 남구 봉덕동 1292-40,35.83787764,128.5990233,봉덕초등학교 앞,4,0,,,2.0,2020.0
주차42,대구광역시,남구,시도,,대봉로,3,"대구광역시 남구 대봉로 120, (이천동)",대구광역시 남구 이천동 258,35.85007863,128.60368,대구중학교 앞,4,0,,,2.0,2020.0
주차43,대구광역시,남구,시도,,대명역길,3,대구광역시 남구 대명역2길 70,대구광역시 남구 대명동 1118-1,35.83769194,128.5606878,앞산삼정그린코아트라이시티,4,0,,,99.0,2021.0
주차44,대구광역시,남구,시도,,신촌길,3,대구광역시 남구 신촌길 57,대구광역시 남구 봉덕동 1064-22,35.83938296,128.6022874,앞산비스타동원아파트앞,4,0,,,99.0,2021.0
주차45,대구광역시,남구,시도,,이천로,3,,대구광역시 남구 대명동 2014-478,35.85278775,128.594467,영선노인복지센터앞,4,0,,,2.0,2021.0
주차46,대구광역시,남구,시도,,이천로,3,,대구광역시 남구 이천동 451-40,35.85186919,128.5958451,교대역 월드메르디앙 부근,4,0,,,2.0,2021.0
주차47,대구광역시,남구,시도,,효성로,3,,대구광역시 남구 봉덕동 1071-3,35.83805986,128.6014572,양돈농협 효성지점앞,4,0,,,2.0,2021.0
주차48,대구광역시,남구,시도,,대명서로,3,"대구광역시 남구 대명서로 146-2, (대명동)",대구광역시 남구 대명동 1149-14,35.83440489,128.5576287,관문시장2,4,0,,,99.0,2021.0
주차49,대구광역시,남구,시도,,대봉로,3,,대구광역시 남구 이천동 252-2,35.85020234,128.6051217,대봉초등학교,4,0,,,2.0,2021.0
주차50,대구광역시,남구,시도,,중앙대로,3,대구광역시 남구 중앙대로47길 55,대구광역시 남구 대명동 1820-5,35.8535697,128.5864801,남대구초등학교,4,0,,,2.0,2021.0
주차51,대구광역시,남구,시도,,성당로,3,대구광역시 남구 성당로30길 55,대구광역시 남구 대명동 3050,35.84515662,128.5708211,성명초등학교,4,0,,,2.0,2021.0
주차52,대구광역시,남구,시도,,현충로,3,대구광역시 남구 현충동길 74,대구광역시 남구 대명동 1709,35.84427387,128.5813642,남도초등학교,4,0,,,2.0,2021.0
주차53,대구광역시,남구,시도,,큰골길,3,대구광역시 남구 큰골4길 41,대구광역시 남구 대명동 483,35.83436385,128.5819866,남명초등학교,4,0,,,2.0,2021.0
주차54,대구광역시,남구,시도,,대명서로,3,대구광역시 남구 대명서로 28,대구광역시 남구 대명동 1571-1,35.8304366,128.5616736,대덕초등학교,4,0,,,2.0,2021.0
주차01,대구광역시,남구,시도,,명덕로,3,대구광역시 남구 명덕로 56-2,대구광역시 남구 대명동 2276-8,35.858742,128.5769241,대명시장,4,0,,,99.0,2005.0
주차02,대구광역시,남구,시도,,월배로,3,대구광역시 남구 월배로 496,대구광역시 남구 대명동 1135-3,35.83666325,128.557072,서부정류장,4,0,,,99.0,2017.0
주차03,대구광역시,남구,시도,,월배로,3,대구광역시 남구 월배로 480,대구광역시 남구 대명동 1140-1,35.83591738,128.5565908,우리은행,4,0,,,99.0,2017.0
주차04,대구광역시,남구,시도,,대명서로,3,대구광역시 남구 대명서로 165,대구광역시 남구 대명동 1583-8,35.83462023,128.5564268,관문시장,4,0,,,99.0,2005.0
주차05,대구광역시,남구,시도,,봉덕로,3,대구광역시 남구 봉덕로 117,대구광역시 남구 봉덕동 954-12,35.84471432,128.6031802,봉덕시장,4,0,,,99.0,2006.0
주차06,대구광역시,남구,시도,,대명로,3,대구광역시 남구 대명로 164,대구광역시 남구 대명동 902-2,35.83882817,128.5757833,안지랑네거리,4,0,,,99.0,2006.0
주차07,대구광역시,남구,시도,,성당로,3,대구광역시 남구 성당로 194,대구광역시 남구 대명동 3023-24,35.85019979,128.5725555,성당시장-1,4,0,,,99.0,2007.0
주차08,대구광역시,남구,시도,,성당로,3,대구광역시 남구 성당로 168,대구광역시 남구 대명동 3037-36,35.84877748,128.5704086,성당시장-2,4,0,,,99.0,2007.0
주차09,대구광역시,남구,시도,,중앙대로,3,대구광역시 남구 중앙대로 147,대구광역시 남구 대명동 37-5,35.84651855,128.5901862,대구은행,4,0,,,99.0,2008.0
주차10,대구광역시,남구,시도,,대명로,3,대구광역시 남구 대명로 299-1,대구광역시 남구 대명동 64-5,35.84475937,128.5886787,명덕시장 앞,4,0,,,99.0,2008.0
주차11,대구광역시,남구,시도,,현충로,3,대구광역시 남구 현충로 267,대구광역시 남구 대명동 2130-43,35.85597395,128.5827166,계명대 대명동캠퍼스,4,0,,,99.0,2010.0
H2333,대구광역시,달성,시도,,하빈로,1,대구 달성군 하빈로 380,대구 달성군 하빈면 현내리 847-5,35.9000594,128.4408959,하빈초교 건너,1,30,,,2.0,2021.0
H2334,대구광역시,달성,시도,,죽곡1길,2,대구 달성군 다사읍 죽곡1길 18,대구 달성군 다사읍 죽곡리 189,35.85653697,128.4635927,죽곡초교,1,30,,,2.0,2021.0
H2409,대구광역시,달성,시도,,하빈로,2,대구 달성군 하빈로 394,대구 달성군 하빈면 현내리 845-7,35.90064603,128.4419634,하빈초교 앞,2,30,,,2.0,2021.0
H2410,대구광역시,달성,시도,,세천로,1,대구 달성군 다사읍 세천로 267,대구 달성군 다사읍 서재리 941,35.86998428,128.4872725,서재동화아이위시@ 312동(세천),2,60,,,,2021.0
H2411,대구광역시,달성,시도,,세천로,2,대구 달성군 다사읍 세천로 267,대구 달성군 다사읍 서재리 산 39-41,35.8694601,128.4874041,서재동화아이위시@ 312동(계명대),2,60,,,,2021.0
H2412,대구광역시,달성,시도,,대실역남로,1,대구 달성군 대실역남로 35,대구 달성군 다사읍 죽곡리 815,35.85383939,128.4644144,청아람리슈빌4단지@,2,30,,,,2021.0
H2413,대구광역시,달성,시도,,돌미로,1,대구 달성군 옥포읍 돌미로 15,대구 달성군 옥포읍 강림리 1106,35.78039244,128.43654,강림초교 정문,2,30,,,2.0,2021.0
H2414,대구광역시,달성,시도,,서재로,2,대구 달성군 다사읍 서재로 113,대구 달성군 다사읍 서재리 106,35.8735915,128.4973027,서재초교 건너,2,30,,,2.0,2021.0
H2415,대구광역시,달성,시도,,다사로,2,대구 달성군 다사읍 다사로 86,대구 달성군 다사읍 매곡리 457,35.86764044,128.4582766,다사초교 건너,2,30,,,2.0,2021.0
H2327,대구광역시,달성,시도,,창리로11길,1,대구 달성군 창리로11길51,대구 달성군 구지면 창리 444-2,35.659162,128.413308,구지초교,1,30,,,2.0,2021.0
H2328,대구광역시,달성,지방도,30,가창로221길,2,대구 달성군 가창면 가창로221길1,대구 달성군 가창면 용계리 7,35.80388547,128.6222214,용계초교,1,30,,,2.0,2021.0
H2329,대구광역시,달성,시도,,달구벌대로55길,1,대구 달성군 달구벌대로55길 104,대구 달성군 하빈면 동곡리 152-1,35.87839,128.416913,동곡초교,1,30,,,2.0,2021.0
H2330,대구광역시,달성,시도,,현풍동로,1,대구 달성군 현풍동로 101-1,대구 달성군 현풍읍 상리 582,35.69916085,128.4500154,현풍초교,1,30,,,2.0,2021.0
H2331,대구광역시,달성,시도,,성암로2길,2,대구 달성군 성암로2길 68,대구 달성군 화원읍 본리리 101-5,35.800757,128.5096302,화동초교 앞,1,30,,,2.0,2021.0
H2332,대구광역시,달성,시도,,성암로2길,1,대구 달성군 성암로2길 68,대구 달성군 화원읍 본리리 129-3,35.799751,128.510211,화동초교 건너,1,30,,,2.0,2021.0
G8264,대구광역시,달성,시도,,국가산단대로,2,대구광역시 달성군 국가산단대로 66길 58,대구광역시 달성군 구지면 창리 1448-3,35.65903018,128.418766,세현초교 남측삼거리,2,30,,,2.0,2020.0
G8265,대구광역시,달성,시도,,논공로,1,대구광역시 달성군 논공로 757,대구광역시 달성군 논공읍 북리 824,35.72872293,128.4452373,누리마을감자탕 논공점,2,50,,,,2020.0
G8266,대구광역시,달성,시도,,비슬로,1,대구광역시 달성군 비슬로 1817,대구광역시 달성군 논공읍 금포리 1086-4,35.77626625,128.4237702,금포초교 건너,2,50,,,2.0,2020.0
G8267,대구광역시,달성,시도,,화암로,2,대구광역시 달성군 화암로 71,대구광역시 달성군 화원읍 명곡리 110-4,35.79803567,128.4963016,명곡우체국네거리,2,50,,,,2020.0
G8268,대구광역시,달성,시도,,세천로,1,대구광역시 달성군 세천로 160,대구광역시 달성군 다사읍 세천리 1578-9,35.87488749,128.4786778,북죽곡현대엠코타운 앞,2,50,,,,2020.0
G8269,대구광역시,달성,시도,,세천로,2,대구광역시 달성군 세천로 161,대구광역시 달성군 다사읍 세천리 1578-9,35.87488749,128.4786778,북죽곡현대엠코타운 건너,2,50,,,,2020.0
G9088,대구광역시,달성,시도,,금계길,1,대구 달성군 금계길 60,대구 달성군 옥포읍 교항리 1654,35.78869,128.44465,금계초교 건너,1,30,,,2.0,2021.0
G9089,대구광역시,달성,시도,,용연사길,2,대구 달성군 용연사길 11,대구 달성군 옥포읍 반송리 166-2,35.75571,128.49498,반송초교,1,30,,,2.0,2021.0
G9090,대구광역시,달성,시도,,궁산1길,1,대구 달성군 다사읍 궁산1길,대구 달성군 다사읍 서재리 1130,35.8714137,128.4885051,서동초교 건너,1,30,,,2.0,2021.0
G9138,대구광역시,달성,시도,,대실역북로,2,대구 달성군 다사읍 대실역북로55,대구 달성군 다사읍 매곡리 1540,35.86227584,128.4674819,매곡초교 건너,2,30,,,2.0,2021.0
G9139,대구광역시,달성,시도,,테크노대로5길,2,대구 달성군 유가읍 테크노대로5길,대구 달성군 유가읍 봉리 656,35.69150192,128.4666933,유가초교 건너,2,30,,,2.0,2021.0
G9140,대구광역시,달성,시도,,테크노대로5길,1,대구 달성군 유가읍 테크노대로5길,대구 달성군 유가읍 봉리 656,35.69190711,128.4668275,유가초교 앞,2,30,,,2.0,2021.0
G9141,대구광역시,달성,일반국도,5,비슬로,2,대구 달성군 비슬로 2199,대구 달성군 옥포읍 본리리 2407-7,35.78843445,128.4624769,옥포초교 건너,2,50,,,2.0,2021.0
G9142,대구광역시,달성,일반국도,5,비슬로,2,대구 달성군 화원읍 비슬로 2563,대구 달성군 화원읍 천내리 255-3,35.80336311,128.4974315,화원초교 건너,2,40,,,2.0,2021.0
G9143,대구광역시,달성,시도,,성천로,1,대구 달성군 화원읍 성천로 192,대구 달성군 화원읍 구라리 1557,35.81057,128.50168,천내초교,2,40,,,2.0,2021.0
H0964,대구광역시,달성,지방도,30,가창로,1,대구 달성군 가창로,대구 달성군 가창면 옥분리 460-1,35.74953106,128.6511542,가창파티마요양병원 건너,1,60,,,,2021.0
H0976,대구광역시,달성,일반국도,5,비슬로,1,대구 달성군 현풍읍 비슬로 480,대구 달성군 현풍읍 원교리 407,35.68194685,128.4466733,달성소방서,2,70,,,,2021.0
H0980,대구광역시,달성,시도,,테크노폴리스로,2,대구 달성군 옥포면 김흥리 테크노폴리스로,대구 달성군 옥포읍 김흥리 552-8,35.7431919,128.4889074,테크노폴리스로(테크노) 시점,99,80,1.0,4348.0,,2021.0
H0981,대구광역시,달성,시도,,테크노폴리스로,2,대구 달성군 유가면 초곡리 테크노폴리스로,대구 달성군 유가읍 초곡리 22,35.70938031,128.4658136,테크노폴리스로(테크노) 종점,99,80,2.0,4348.0,,2021.0
H2326,대구광역시,달성,시도,,금계길,2,대구 달성군 옥포읍 금계길 55,대구 달성군 옥포읍 교항리 1503,35.7885267,128.4446046,금계초교 앞,1,30,,,2.0,2021.0
G1539,대구광역시,달성,시도,,세천로,1,대구광역시 달성군 다사읍 세천로 182-9,대구광역시 달성군 다사읍 세천리 1586,35.87434699,128.4814697,세천초등학교삼거리,1,30,,,2.0,2018.0
G2042,대구광역시,달성,일반국도,5,비슬로,1,대구광역시 달성군 옥포면 비슬로,대구광역시 달성군 옥포읍 강림리 637-9,35.7815457,128.4358479,강림초교,1,50,,,2.0,2019.0
G3165,대구광역시,달성,시도,,달구벌대로,2,대구광역시 달성군 다사읍 달구벌대로 763,대구광역시 달성군 다사읍 매곡리 895-3,35.8615682,128.4552699,강창우방아파트삼거리(매곡),2,60,,,,2020.0
G3291,대구광역시,달성,시도,,테크로중앙대로,1,대구광역시 달성군 유가읍 테크노중앙대로 80,대구광역시 달성군 유가읍 금리 1156,35.67824302,128.4600426,옥녀봉 사거리,2,60,,,,2020.0
G3292,대구광역시,달성,시도,,서재로,1,대구광역시 달성군 다사읍 서재로 96,대구광역시 달성군 다사읍 서재리 258-17,35.87187647,128.497312,서재초등학교,2,30,,,2.0,2020.0
G3293,대구광역시,달성,시도,,옥포로,1,대구광역시 달성군 옥포로 652,대구광역시 달성군 옥포읍 김흥리 448-6,35.74515468,128.4831101,달성공단 시점,1,40,1.0,1296.0,,2020.0
G3294,대구광역시,달성,시도,,논공중앙로,1,대구광역시 달성군 논공중앙로,대구광역시 달성군 논공읍 본리리 29-48,35.7419420935,128.4718810712,달성공단 종점,1,40,2.0,1296.0,,2020.0
G4595,대구광역시,달성,시도,,비슬로,2,대구광역시 달성군 논공읍 비슬로 1193,대구광역시 달성군 하리 689-3,35.73650502,128.4202208,약산온천입구교차로,2,70,,,,2020.0
G5233,대구광역시,달성,일반국도,30,달구벌대로,1,대구광역시 달성군 다사읍 달구벌대로 (문양리 640-1),대구광역시 달성군 다사읍 문양리 640-1,35.85904885,128.4353226,문양네거리(성주),2,70,,,,2020.0
G5235,대구광역시,달성,시도,,헐티로,1,대구광역시 달성군 가창면 헐티로 210,대구광역시 달성군 정대리 908-1,35.73735458,128.5553367,헐티로 시점,99,50,1.0,10118.0,,2020.0
G5236,대구광역시,달성,시도,,헐티로,1,대구광역시 달성군 가창면 헐티로 1237,대구광역시 달성군 용계리 산86-11,35.79774115,128.617693,헐티로 종점,99,40,2.0,10118.0,,2020.0
G7112,대구광역시,달성,일반국도,30,달구벌대로,2,대구광역시 달성군 달구벌대로(다사읍 매곡리 1552-1),대구광역시 달성군 다사읍 매곡리 1552-1,35.8561755,128.4682777,강서소방서 건너,1,60,,,,2020.0
G7502,대구광역시,달성,시도,,비슬로,1,대구광역시 달성군 비슬로(유가면 한정리 3-4),대구광역시 달성군 유가면 한정리 3-4,35.65659616,128.4527244,한정주유소 건너,1,70,,,,2021.0
G7513,대구광역시,달성,시도,,가창로,1,대구광역시 달성군 가창로 (가창면 냉천리 1-2),대구광역시 달성군 가창면 냉천리 1-2,35.78631049,128.6392346,스파밸리네거리(청도),2,60,,,,2021.0
G8179,대구광역시,달성,시도,,화암로,1,대구광역시 달성군 화원읍 화암로122,대구광역시 달성군 화원읍 명곡리 143,35.79877911,128.5016581,명곡미래빌 404동,2,50,,,,2020.0
G8255,대구광역시,달성,지방도,30호선,가창로,2,대구광역시 달성군 가창면 가창로 637,대구광역시 달성군 가창면 대일리 399-2,35.76972435,128.6477854,가창초교 건너,2,50,,,2.0,2020.0
G8256,대구광역시,달성,지방도,30호선,가창로,1,대구광역시 달성군 가창면 가창로 640,대구광역시 달성군 가창면 대일리 370-1,35.77105069,128.648247,가창초교 앞,2,50,,,2.0,2020.0
G8257,대구광역시,달성,시도,,테크노북로,1,대구광역시 달성군 테크노북로 5길 5,대구광역시 달성군 유가읍 봉리 645,35.69686608,128.4594118,비슬초교 동편,2,30,,,2.0,2020.0
G8258,대구광역시,달성,시도,,테크노북로,2,대구광역시 달성군 테크노북로 4길11,대구광역시 달성군 현풍읍 중리 480-4,35.69593047,128.4560967,비슬초교 건너,2,40,,,2.0,2020.0
G8259,대구광역시,달성,시도,,테크노중앙대로,1,대구광역시 달성군 테크노중앙대로 6길,대구광역시 달성군 유가읍 봉리 583-5,35.697299,128.4566364,비슬초교 앞,2,40,,,2.0,2020.0
G8260,대구광역시,달성,시도,,테크노북로,2,대구광역시 달성군 테크노북로 80,대구광역시 달성군 현풍읍 중리 483-1,35.69511943,128.4503428,포산초교 앞,2,30,,,2.0,2020.0
G8261,대구광역시,달성,시도,,테크노북로,1,대구광역시 달성군 테크노북로 80,대구광역시 달성군 현풍읍 중리 453-5,35.69535084,128.4501002,포산초교 건너편,2,30,,,2.0,2020.0
G8262,대구광역시,달성,시도,,과학마을로,1,대구광역시 달성군 과학마을로3길14,대구광역시 달성군 구지면 응암리 1199,35.65792698,128.4197186,구지반도유보라아이비파크102동 삼거리,2,30,,,2.0,2020.0
G8263,대구광역시,달성,시도,,국가산단북로,1,대구광역시 달성군 국가산단북로 60길62,대구광역시 달성군 구지면 창리 1453-1,35.65871884,128.4208975,세현초교 후문,2,30,,,2.0,2020.0
F9307,대구광역시,달성,일반국도,5,비슬로,1,대구광역시 달성군 논공읍 비슬로,대구광역시 달성군 논공읍 삼리리 4-6,35.77152431,128.41667,7대대앞,2,70,,,,2017.0
F9602,대구광역시,달성,지방도,30,가창로,2,대구광역시 달성군 가창면 가창로 1007,대구광역시 달성군 가창면 용계리 543,35.79562313,128.6269822,가창중석타운앞,2,60,,,,2017.0
F9603,대구광역시,달성,일반국도,30,달구벌대로,1,대구광역시 달성군 다사읍 달구벌대로 844,대구광역시 달성군 다사읍 죽곡리 산 61-2,35.86009731,128.4623502,다사고등학교 건너편,2,60,,,,2017.0
F9841,대구광역시,달성,일반국도,5,비슬로,2,대구광역시 달성군 논공읍 비슬로,대구광역시 달성군 논공읍 남리 산 69-1,35.71963513,128.4361956,박석진교북편,1,70,,,,2017.0
G0046,대구광역시,달성,일반국도,5,비슬로,1,대구광역시 달성군 화원읍 비슬로 2406,대구광역시 달성군 화원읍 설화리 770,35.79494457,128.4831985,설화교차로(화원),2,60,,,,2017.0
G0047,대구광역시,달성,일반국도,5,비슬로,2,대구광역시 달성군 화원읍 비슬로 2467,대구광역시 달성군 화원읍 설화리 553-21,35.79838671,128.4884226,설화명곡역 앞,2,50,,,,2017.0
G0623,대구광역시,달성,지방도,30,가창로,1,대구광역시 달성군 가창면 가창로 863,대구광역시 달성군 가창면 냉천리 1-2,35.78785487,128.6379071,스파밸리건너편,2,60,,,,2018.0
G0649,대구광역시,달성,일반국도,30,달구벌대로,1,대구광역시 달성군 다사읍 달구벌대로,대구광역시 달성군 다사읍 매곡리 산 36-9,35.86175233,128.4564931,강창우방타운삼거리(대구),2,60,,,,2018.0
G0655,대구광역시,달성,시도,,국가산단로,1,대구광역시 달성군 현풍면 국가산단로,대구광역시 달성군 현풍면 신기리 85-10,35.66885632,128.4424784,현풍IC앞,1,60,,,,2018.0
G0660,대구광역시,달성,시도,,서재로,1,대구광역시 달성군 다사읍 서재로,대구광역시 달성군 다사읍 서재리 산 1-11,35.88187202,128.4996516,성주사,1,50,,,,2018.0
G0661,대구광역시,달성,일반국도,30,달구벌대로,1,대구광역시 달성군 하빈면 달구벌대로,대구광역시 달성군 하빈면 동곡리 368-4,35.8791445,128.4134253,봉촌교앞,1,70,,,,2018.0
G0664,대구광역시,달성,시도,,화암로,2,대구 달성군 화원읍 화암로,대구 달성군 화원읍 본리리 135,35.80335876,128.5124679,대곡역그린빌 107동 앞,1,50,,,,2018.0
G0665,대구광역시,달성,시도,,화암로,2,대구 달성군 화원읍 화암로,대구 달성군 화원읍 명곡리 943-3,35.7988252,128.5034933,화원119안전센터 건너편,1,50,,,,2018.0
G0861,대구광역시,달성,시도,,서재로,1,대구광역시 달성군 다사읍 서재로,대구광역시 달성군 다사읍 서재리 1049-2,35.867869,128.492894,서재동화아이위시앞,2,40,,,,2018.0
G0862,대구광역시,달성,일반국도,5,비슬로,2,대구광역시 달성군 논공읍 비슬로,대구광역시 달성군 논공읍 남리 190,35.72598614,128.4339352,논공삼거리,2,70,,,,2018.0
G1388,대구광역시,달성,일반국도,5,비슬로,2,대구광역시 달성군 화원읍 비슬로 2640,대구광역시 달성군 화원읍 본리리 14-8,35.80553382,128.5052651,화원하이마트앞,2,50,,,,2018.0
G1389,대구광역시,달성,일반국도,5,비슬로,1,대구광역시 달성군 화원읍 비슬로 2635,대구광역시 달성군 화원읍 천내리 56,35.80586312,128.5045393,화원하이마트건너,2,50,,,,2018.0
G1501,대구광역시,달성,시도,,왕선로,2,대구광역시 달성군 다사읍 왕선로,대구광역시 달성군 다사읍 매곡리 1544,35.86341238,128.4639882,왕선초등학교오거리(대실역),2,40,,,2.0,2018.0
G1502,대구광역시,달성,시도,,테크노폴리스로,1,대구광역시 달성군 논공읍 본리리 테크노폴리스로,대구광역시 달성군 논공읍 본리리 산 183-9,35.731129,128.47952,테크노폴리스 입구 1차로,99,80,1.0,8356.0,,2018.0
G1503,대구광역시,달성,시도,,테크노폴리스로,1,대구광역시 달성군 논공읍 본리리 테크노폴리스로,대구광역시 달성군 논공읍 본리리 산 183-9,35.731129,128.47952,테크노폴리스 입구 2차로,99,80,1.0,8356.0,,2018.0
G1504,대구광역시,달성,시도,,테크노폴리스로,1,대구광역시 달성군 논공읍 본리리 테크노폴리스로,대구광역시 달성군 화원읍 본리리 331-2,35.79860559,128.5122934,테크노폴리스 출구 1차로,99,80,2.0,8356.0,,2018.0
G1505,대구광역시,달성,시도,,테크노폴리스로,1,대구광역시 달성군 논공읍 본리리 테크노폴리스로,대구광역시 달성군 화원읍 본리리 331-2,35.79860559,128.5122934,테크노폴리스 출구 2차로,99,80,2.0,8356.0,,2018.0
G1537,대구광역시,달성,시도,,대실역남로,2,대구광역시 달성군 다사읍 대실역남로1길,대구광역시 달성군 다사읍 죽곡리 843,35.85239777,128.4668074,대실초등학교 앞,1,30,,,2.0,2018.0
G1538,대구광역시,달성,시도,,대실역북로,1,대구광역시 달성군 다사읍 대실역북로 66,대구광역시 달성군 다사읍 매곡리 1534,35.8625193,128.4677129,매곡초등학교삼거리,2,30,,,2.0,2018.0
F6431,대구광역시,달성,시도,,국가산단대로,1,대구광역시 달성군 구지면 국가산단대로 1,대구광역시 달성군 구지면 응암리 1220,35.65594671,128.4178074,주단네거리,2,60,,,,2011.0
