주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,위도,경도,데이터기준일자
153-2-000011,중앙시장공영주차장,공영,노외,,대구광역시 남구 대명동 982-7,23,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,유료,30,300,10.0,200.0,160.0,3000.0,70000.0,현금,"경차,장애인차량,국가유공자차량,승용차요일제차량,저공해차량, 환경친화적 자동차 50 할인.",35.836972,128.568436,2020-01-01
153-2-000012,안지랑곱창(2)공영주차장,공영,노외,,대구광역시 남구 대명동 874-9,35,1,미시행,평일+토요일+공휴일,11:00,03:00,11:00,03:00,11:00,03:00,유료,30,400,10.0,200.0,160.0,4000.0,70000.0,현금,"경차,장애인차량,국가유공자차량,승용차요일제차량,저공해차량, 환경친화적 자동차 50 할인.",35.836031,128.5743386477,2020-01-01
153-2-000013,앞산맛둘레길제1공영주차장,공영,노외,,대구광역시 남구 대명동 200-14,83,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,35.831632,128.574923,2020-01-01
153-2-000014,대명1동공영주차장,공영,노외,,대구광역시 남구 대명동 794-4,10,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,35.8409382131,128.577694,2020-01-01
153-2-000015,대명4동공영주차장,공영,노외,,대구광역시 남구 대명동 3029-8,20,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,35.845335,128.5740468691,2020-01-01
153-2-000016,봉덕2동공영주차장,공영,노외,,대구광역시 남구 봉덕동 538-3,12,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,35.843874,128.601848,2020-01-01
153-2-000017,봉명공영주차장,공영,노외,대구광역시 남구 봉덕로11길 11,대구광역시 남구 봉덕동 705-8,37,1,미시행,평일,08:00,20:00,00:00,00:00,00:00,00:00,유료,30,300,10.0,200.0,210.0,3000.0,40000.0,현금,"경차,장애인차량,국가유공자차량,승용차요일제차량,저공해차량, 환경친화적 자동차 50 할인.",35.8455624,128.5957830075,2020-01-01
153-2-000018,안지랑곱창(1)공영주차장,공영,노외,,대구광역시 남구 대명동 902-14,12,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,35.8385016,128.5761933684,2020-01-01
153-2-000019,바다맛길공영주차장,공영,노외,,대구광역시 남구 대명동 1225-31,22,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,35.8404153,128.5604339581,2020-01-01
153-2-000020,남구청북편공영주차장,공영,노외,,대구광역시 남구 봉덕동 523-15,5,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,35.846556,128.597236,2020-01-01
153-2-000021,골안골공영주차장,공영,노외,대구광역시 남구 대명로10길 22-16,대구광역시 남구 대명동 1430-4,19,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,35.8371951,128.5624892753,2020-01-01
153-2-000022,양지로공영주차장,공영,노외,대구광역시 남구 양지남길 101,대구광역시 남구 대명동 2152-5,35,1,미시행,평일,08:00,20:00,00:00,00:00,00:00,00:00,유료,30,300,10.0,200.0,210.0,3000.0,40000.0,현금,"경차,장애인차량,국가유공자차량,승용차요일제차량,저공해차량, 환경친화적 자동차 50 할인.",35.8509827,128.5787884406,2020-01-01
153-2-000023,앞산맛둘레길제3공영주차장,공영,노외,대구광역시 남구 앞산순환로 383-2,대구광역시 남구 대명동 584-4,24,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,35.8321808536,128.5678893195,2020-01-01
153-2-000024,청소년블루존(1)공영주차장,공영,노외,대구광역시 남구 중앙대로45길 74,대구광역시 남구 대명동 1800-14,10,1,미시행,평일+토요일+공휴일,08:00,20:00,08:00,20:00,08:00,20:00,유료,30,200,10.0,200.0,210.0,3000.0,40000.0,현금,"경차,장애인차량,국가유공자차량,승용차요일제차량,저공해차량, 환경친화적 자동차 50 할인.",35.8557908479,128.589581,2020-01-01
153-2-000025,청소년블루존(2)공영주차장,공영,노외,대구광역시 남구 명덕로34길 17,대구광역시 남구 대명동 1809-5,12,1,미시행,평일+토요일+공휴일,08:00,20:00,08:00,20:00,08:00,20:00,유료,30,200,10.0,200.0,210.0,3000.0,40000.0,현금,"경차,장애인차량,국가유공자차량,승용차요일제차량,저공해차량, 환경친화적 자동차 50 할인.",35.8557851089,128.587569,2020-01-01
153-2-000026,2000배행복마을 제1공영주차장,공영,노외,,대구광역시 남구 이천동 408-12,28,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,35.8530976903,128.5989814506,2020-01-01
153-1-000027,봉덕2동 주민센터 앞 노상공영주차장,공영,노상,대구광역시 남구 봉덕로 20,대구광역시 남구 봉덕동 540-1,24,1,미시행,평일+토요일,08:00,20:00,08:00,20:00,00:00,00:00,유료,30,600,10.0,300.0,210.0,6000.0,80000.0,현금,"경차,장애인차량,국가유공자차량,승용차요일제차량,저공해차량, 환경친화적 자동차 50 할인.",35.844968,128.5924991925,2020-01-01
153-1-000028,봉덕1동 봉덕북길 노상공영주차장,공영,노상,대구광역시 남구 이천로 28,대구광역시 남구 봉덕동 750-3,43,1,미시행,평일+토요일,08:00,20:00,08:00,20:00,00:00,00:00,유료,30,600,10.0,300.0,210.0,6000.0,80000.0,현금,"경차,장애인차량,국가유공자차량,승용차요일제차량,저공해차량, 환경친화적 자동차 50 할인.",35.8432165,128.5983832714,2020-01-01
153-1-000029,이천도 복개로 노상공영주차장,공영,노상,대구광역시 남구 봉덕로 21길 15,대구광역시 남구 봉덕동 543-5,79,1,미시행,평일+토요일,08:00,20:00,08:00,20:00,00:00,00:00,유료,30,600,10.0,300.0,210.0,6000.0,80000.0,현금,"경차,장애인차량,국가유공자차량,승용차요일제차량,저공해차량, 환경친화적 자동차 50 할인.",35.8455454,128.6007662,2020-01-01
153-2-000030,삼정골공영주차장,공영,노외,대구광역시 남구 효서길 75,대구광역시 남구 봉덕동 1350-1,17,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,35.8379085542,128.594761,2020-01-01
153-2-000031,강당골공영주차장,공영,노외,,대구광역시 남구 봉덕동 1272-18,92,2,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,35.8326063912,128.598444,2020-01-01
153-2-000032,2000배행복마을 제2공영주차장,공영,노외,대구광역시 남구 대봉로34길 25,대구광역시 남구 이천동 291-4,5,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,35.8533357,128.6042842562,2020-01-01
153-1-000033,영대병원정문 노상공영주차장,공영,노상,대구광역시 남구 중앙대로 29,대구광역시 남구 대명동 51-1,27,1,미시행,평일,08:00,20:00,00:00,00:00,00:00,00:00,유료,30,600,10.0,300.0,210.0,6000.0,80000.0,현금,"경차,장애인차량,국가유공자차량,승용차요일제차량,저공해차량, 환경친화적 자동차 50 할인.",35.8462317,128.5896280164,2020-01-01
153-2-000034,앞산카페거리 공영주차장,공영,노외,대구광역시 남구 현충로 39,대구광역시 남구 대명동 501-3,32,2,미시행,평일+토요일+공휴일,10:00,22:00,10:00,22:00,10:00,22:00,유료,30,400,10.0,200.0,,4000.0,40000.0,현금,"경차,장애인차량,국가유공자차량,승용차요일제차량,저공해차량, 환경친화적 자동차 51 할인.",35.8364895833,128.579397,2020-01-01
153-2-000035,2000배 행복마을 제3공영주차장,공영,노외,대구광역시 남구 대봉로34길 58-5,대구광역시 남구 이천동 193-14,10,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,35.8541661,128.6038808034,2020-01-01
153-2-000036,앞산 행복마을 공영주차장,공영,노외,대구광역시 남구 안지랑로7길 2,대구광역시 남구 대명동 614-6,11,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,,,,,,,,35.833683,128.571189,2020-01-01
156-2-000001,상인1공영주차장,공영,노외,대구광역시 달서구 상화북로 196-6,,87,2,미시행,평일+토요일+공휴일,09:00,20:00,09:00,20:00,09:00,20:00,유료,30,300,10.0,150.0,3.5,3000.0,40000.0,현금,"경차60퍼센트할인, 장애인2시간면제 50퍼센트할인, 하이브리드1600cc이하 50퍼센트할인, 아이조아50퍼센트 할인",35.81298632,128.5470576,2020-03-17
156-2-000003,능금공원(두류공영)주차장,공영,노외,대구광역시 달서구 명덕로2길 57 (두류동),,33,3,미시행,평일+토요일+공휴일,06:00,23:00,06:00,23:00,06:00,23:00,무료,1440,0,,,,,,,,35.85950078,128.5709285,2020-03-17
156-2-000004,상인공영주차장,공영,노외,대구광역시 달서구 상인서로 8-3,대구광역시 달서구 상인동 1554,276,3,미시행,평일+토요일+공휴일,06:00,23:00,06:00,23:00,06:00,23:00,유료,30,400,10.0,200.0,3.5,4000.0,50000.0,현금,"경차60퍼센트할인, 장애인2시간면제 50퍼센트할인, 하이브리드1600cc이하 50퍼센트할인, 요일제 20퍼센트, 성실납세자 면제",35.8121647073,128.5470061214,2020-03-17
156-2-000005,용산1공영주차장,공영,노외,대구광역시 달서구 달구벌대로301길 173,대구광역시 달서구 용산동 933-4,71,2,미시행,평일+토요일+공휴일,09:00,20:00,09:00,20:00,00:00,00:00,혼합,30,300,10.0,150.0,3.5,3000.0,40000.0,현금,"경차60퍼센트할인, 장애인2시간면제 50퍼센트할인, 하이브리드1600cc이하 50퍼센트할인, 아이조아50퍼센트 할인",35.8575024114,128.5313439978,2020-03-17
156-2-000006,용산2공영주차장,공영,노외,대구광역시 달서구 용산서로 10,대구광역시 달서구 용산동 931-4,83,2,미시행,평일+토요일+공휴일,09:00,20:00,09:00,20:00,00:00,00:00,혼합,30,300,10.0,150.0,3.5,3000.0,40000.0,현금,"경차60퍼센트할인, 장애인2시간면제 50퍼센트할인, 하이브리드1600cc이하 50퍼센트할인, 아이조아50퍼센트 할인",35.8577846659,128.5295605403,2020-03-17
156-2-000007,장기공영주차장,공영,노외,대구광역시 달서구 장기로 277,대구광역시 달서구 장기동 817-1,26,2,미시행,평일+토요일+공휴일,11:00,20:00,00:00,00:00,00:00,00:00,혼합,30,300,10.0,150.0,3.5,3000.0,40000.0,현금,"경차60퍼센트할인, 장애인2시간면제 50퍼센트할인, 하이브리드1600cc이하 50퍼센트할인, 아이조아50퍼센트 할인",35.8433501158,128.5299739242,2020-03-17
156-2-000008,본리1공영주차장,공영,노외,대구광역시 달서구 용산로 49,대구광역시 달서구 본리동 1196,58,2,미시행,평일+토요일+공휴일,10:00,21:00,10:00,21:00,00:00,00:00,혼합,30,300,10.0,150.0,3.5,3000.0,40000.0,현금,"경차60퍼센트할인, 장애인2시간면제 50퍼센트할인, 하이브리드1600cc이하 50퍼센트할인, 아이조아50퍼센트 할인",35.84171859,128.5304026589,2020-03-17
156-2-000009,본리2공영주차장,공영,노외,대구광역시 달서구 대명천로 284,대구광역시 달서구 본리동 1196,62,2,미시행,평일+토요일+공휴일,10:00,21:00,10:00,21:00,00:00,00:00,혼합,30,300,10.0,150.0,3.5,3000.0,40000.0,현금,"경차60퍼센트할인, 장애인2시간면제 50퍼센트할인, 하이브리드1600cc이하 50퍼센트할인, 아이조아50퍼센트 할인",35.8419680875,128.5292390481,2020-03-17
156-2-000010,진천환승공영(A구역),공영,노외,대구광역시 달서구 진천로9길 33,대구광역시 달서구 진천동 626-31,45,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,,,,,,,,35.8122214033,128.5228091224,2020-03-17
156-2-000011,진천환승공영(B구역),공영,노외,대구광역시 달서구 진천로7길 36,대구광역시 달서구 진천동 494-6,184,3,미시행,평일+토요일+공휴일,08:00,17:00,00:00,00:00,00:00,00:00,혼합,30,200,10.0,100.0,3.5,2000.0,20000.0,현금,"경차60퍼센트할인, 장애인2시간면제 50퍼센트할인, 하이브리드1600cc이하 50퍼센트할인, 아이조아50퍼센트 할인",35.8114436365,128.5233715,2020-03-17
156-2-000012,도원동마을공영주차장,공영,노외,대구광역시 달서구 상화로58길 56,대구광역시 달서구 도원동 670,11,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,,,,,,,,35.8060223532,128.5470108744,2020-03-17
156-2-000013,용산환승공영주차장,공영,노외,대구광역시 달서구 용산로 113,대구광역시 달서구 장기동 810-4,204,2,미시행,평일+토요일+공휴일,07:00,18:00,07:00,18:00,07:00,18:00,유료,30,300,10.0,150.0,3.5,3000.0,40000.0,현금,"경차60퍼센트할인, 장애인2시간면제 50퍼센트할인, 하이브리드1600cc이하 50퍼센트할인, 아이조아50퍼센트 할인",35.8479338502,128.5297963404,2020-03-17
156-2-000014,호림1공영주차장,공영,노외,대구광역시 달서구 달서대로85길 17,대구광역시 달서구 호림동 13-10,215,3,미시행,평일+토요일+공휴일,10:00,21:00,10:00,21:00,10:00,21:00,유료,30,200,10.0,100.0,3.5,2000.0,20000.0,현금,"경차60퍼센트할인, 장애인2시간면제 50퍼센트할인, 하이브리드1600cc이하 50퍼센트할인, 아이조아50퍼센트 할인",35.837104313,128.4897338663,2020-03-17
156-2-000015,호림2공영주차장,공영,노외,대구광역시 달서구 성서공단로15길 29,대구광역시 달서구 호림동 12-1,341,3,미시행,평일+토요일+공휴일,10:00,21:00,10:00,21:00,10:00,21:00,유료,30,200,10.0,100.0,3.5,2000.0,20000.0,현금,"경차60퍼센트할인, 장애인2시간면제 50퍼센트할인, 하이브리드1600cc이하 50퍼센트할인, 아이조아50퍼센트 할인",35.8377877015,128.4901450622,2020-03-17
156-2-000016,호산공영주차장,공영,노외,대구광역시 달서구 달서대로95길 14,대구광역시 달서구 호산동 714-1,207,3,미시행,평일+토요일+공휴일,10:00,21:00,10:00,21:00,10:00,21:00,유료,30,200,10.0,100.0,3.5,2000.0,20000.0,현금,"경차60퍼센트할인, 장애인2시간면제 50퍼센트할인, 하이브리드1600cc이하 50퍼센트할인, 아이조아50퍼센트 할인",35.8422143862,128.4901304763,2020-03-17
156-2-000017,본동1공영주차장,공영,노외,대구광역시 달서구 학산로19길 79-10,대구광역시 달서구 본동 885-5,33,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,,,,,,,,35.8358610145,128.5355228499,2020-03-17
156-2-000018,신당1공영주차장,공영,노외,대구광역시 달서구 선원로 60,,14,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,,,,,,,,35.8589686453,128.4988307271,2020-03-17
156-2-000019,장기동마을공영주차장,공영,노외,대구광역시 달서구 문화회관2길 56,대구광역시 달서구 장기동 231,19,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,,,,,,,,35.847706498,128.5187368011,2020-03-17
156-2-000020,청소년수련관공영주차장,공영,노외,대구광역시 달서구 상화로 406 (상인동),,195,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,,,,,,,,35.80789636,128.5582315,2020-03-17
156-2-000021,상인2동공영주차장,공영,노외,대구광역시 달서구 상원로 27,대구광역시 달서구 상인동 1453-7,11,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,,,,,,,,35.8125548734,128.5362599295,2020-03-17
156-2-000022,송현1동1공영주차장,공영,노외,대구광역시 달서구 송현로2길 118,대구광역시 달서구 송현동 1970-15,10,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,,,,,,,,35.8250770133,128.5542278268,2020-03-17
156-2-000023,월곡공영주차장,공영,노외,대구광역시 달서구 송현로7길 41,대구광역시 달서구 상인동 899,70,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,,,,,,,,35.8185141495,128.5474347011,2020-03-17
156-2-000024,서남시장공영주차장,공영,노외,대구광역시 달서구 당산로41길 62 (감삼동),대구광역시 달서구 감삼동 54-6,30,3,미시행,평일+토요일+공휴일,09:00,22:00,09:00,22:00,09:00,22:00,유료,30,300,10.0,200.0,,,80000.0,현금,"정상금액 기준: 경차60퍼센트할인, 장애인2시간면제 50퍼센트할인, 친환경적, 저공해 자동차 60퍼센트할인, 성실납세자 면제(1년)",35.8540262,128.5445723,2020-03-17
156-2-000025,성당동1공영주차장,공영,노외,대구광역시 달서구 장기로 79,대구광역시 달서구 성당동 638-2,30,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,,,,,,,,35.8432342613,128.5519346504,2020-03-17
156-2-000026,본리동마을공영주차장,공영,노외,대구광역시 달서구 당산로 37-14,대구광역시 달서구 본리동 110-5,44,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,,,,,,,,35.8410150253,128.5431658057,2020-03-17
156-2-000027,송현1동2공영주차장,공영,노외,대구광역시 달서구 월배로74길 93-14,대구광역시 달서구 송현동 1971-2,27,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,,,,,,,,35.8256901034,128.5539255269,2020-03-17
156-2-000028,서촌공영주차장,공영,노외,대구광역시 달서구 새방로 43,,76,3,미시행,평일+토요일+공휴일,10:00,19:00,00:00,00:00,00:00,00:00,혼합,30,200,10.0,100.0,3.5,2000.0,20000.0,현금,"경차60퍼센트할인, 장애인2시간면제 50퍼센트할인, 하이브리드1600cc이하 50퍼센트할인, 아이조아50퍼센트 할인",35.86294972,128.5222112,2020-03-17
156-2-000029,두류1·2동1공영주차장,공영,노외,대구광역시 달서구 파도고개로12길 12,대구광역시 달서구 두류동 1252-4,40,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,,,,,,,,35.8553791931,128.5696124074,2020-03-17
156-2-000030,월광수변공원주차장,공영,노외,대구광역시 달서구 월곡로 5,대구광역시 달서구 도원동 928,184,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,,,,,,,,35.7988074675,128.548286844,2020-03-17
156-2-000031,성당동2공영주차장,공영,노외,대구광역시 달서구 장기로12길 51,대구광역시 달서구 성당동 640-2,30,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,,,,,,,,35.8442264,128.552884978,2020-03-17
156-2-000032,송현1동3공영주차장,공영,노외,대구광역시 달서구 중흥로8길 41,대구광역시 달서구 송현동 1995-5,17,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,,,,,,,,35.829233515,128.5547559495,2020-03-17
156-2-000033,신당2공영주차장,공영,노외,대구광역시 달서구 성서서로73길 25,대구광역시 달서구 신당동 173,32,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,,,,,,,,35.8573414331,128.4983750082,2020-03-17
156-2-000034,상원공영주차장,공영,노외,대구광역시 달서구 월곡로26길 33,대구광역시 달서구 상인동 1584-1,62,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,,,,,,,,35.8087369676,128.550358,2020-03-17
156-2-000035,감삼동마을공영주차장,공영,노외,대구광역시 달서구 당산로21안길 6,대구광역시 달서구 감삼동 203-6,26,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,,,,,,,,35.8469422727,128.5439093326,2020-03-17
156-2-000036,두류1·2동2공영주차장,공영,노외,대구광역시 달서구 두류남5길 7,대구광역시 달서구 두류동 832-5,37,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,,,,,,,,35.8569046128,128.5723169124,2020-03-17
156-2-000037,두류3동마을공영주차장,공영,노외,대구광역시 달서구 야외음악당로39서길 91-10,대구광역시 달서구 두류동 637-7,23,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,,,,,,,,35.8518315466,128.552748632,2020-03-17
156-2-000038,죽전동마을공영주차장,공영,노외,대구광역시 달서구 와룡로57길 65,대구광역시 달서구 죽전동 390-12,23,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,,,,,,,,35.8579391116,128.5335619433,2020-03-17
156-2-000039,월촌공원주차장주차장,공영,노외,대구광역시 달서구 상인로 68-4 (상인동),,157,2,미시행,평일+토요일+공휴일,09:00,18:00,09:00,18:00,09:00,18:00,혼합,30,300,10.0,150.0,3.5,3000.0,40000.0,현금,"경차60퍼센트할인, 장애인2시간면제 50퍼센트할인, 하이브리드1600cc이하 50퍼센트할인, 아이조아50퍼센트 할인",35.81277938,128.5489485,2020-03-17
156-2-000040,서남신시장공영주차장,공영,노외,대구광역시 달서구 달구벌대로329안길 30 (감삼동),대구광역시 달서구 감삼동 63-8,40,3,미시행,평일+토요일+공휴일,09:00,22:00,09:00,22:00,09:00,22:00,유료,30,300,10.0,200.0,,,80000.0,현금,"정상금액 기준: 경차60퍼센트할인, 장애인2시간면제 50퍼센트할인, 친환경적, 저공해 자동차 60퍼센트할인, 성실납세자 면제(1년)",35.85356845,128.5441484,2020-03-17
156-2-000041,본동2공영주차장,공영,노외,대구광역시 달서구 구마로26길 62,대구광역시 달서구 본동 867-1,11,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,,,,,,,,35.8344422259,128.5410420791,2020-03-17
156-2-000042,용산2동마을공영주차장,공영,노외,대구광역시 달서구 성지로14길 14,대구광역시 달서구 용산동 440-4,20,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,,,,,,,,35.8552798655,128.5218656013,2020-03-17
156-2-000043,월촌역시장공영주차장,공영,노외,대구광역시 달서구 송현로8안길 6 (송현동),대구광역시 달서구 송현동 1949-21,26,3,미시행,평일+토요일+공휴일,09:00,22:00,09:00,22:00,09:00,22:00,유료,30,300,10.0,200.0,4.5,5000.0,60000.0,현금,"정상금액 기준: 경차60퍼센트할인, 장애인2시간면제 50퍼센트할인, 친환경적, 저공해 자동차 60퍼센트할인, 성실납세자 면제(1년)",35.82227036,128.5489586,2020-03-17
156-2-000044,송현2동마을공영주차장,공영,노외,대구광역시 달서구 월배로75길 112,대구광역시 달서구 송현동 496-1,42,3,미시행,평일+토요일+공휴일,00:00,00:00,00:00,00:00,00:00,00:00,무료,1440,0,,,,,,,,35.8324587714,128.5475638207,2020-03-17
